en-name,he-name,he-short,type,lat,lon,svlat,svlon,heading,pitch,opening_hours
Feldman,פלדמן,פלדמן,0,31.778233,35.196084,31.7784247,35.1963408,252.45488,-11.597626,-1
Shprintzek,שפרנצק,שפ',0,31.777752,35.196096,31.777751,35.196376,288,0,-1
Los Angeles,לוס אנגלוס,כימיה,0,31.774376,35.197222,31.7745179,35.1975241,214,0,-1
Levy,לוי,לוי,0,31.776757,35.195971,31.7769701,35.1963987,264,0,-1
Manchester,מתמטיקה,מתמטיק,0,31.774696,35.197873,31.7749793,35.1976511,107.4,0,-1
Library of Earth Studies Institute,מדעי כדור הארץ,ג',0,31.7708039,35.1973608,31.7708039,35.1973608,192,0,-1
Kaplan,קפלן,קפלן,0,31.776238,35.196101,31.7761072,35.1964602,269.7,0,-1
Rothberg,רוטברג,רוטברג,0,31.7761072,35.1964602,31.7761072,35.1964602,269.7,0,-1
Canada Hall,אולם קנדה,קנדה,0,31.77819,35.197868,31.77819,35.197868,125,0,-1
Computer Science Auditorium,אודיטורים,אודיטורי,0,31.776375,35.197643,31.776375,35.197643,0,0,-1
Shprintzek Computer Labs,ח'מחשבים,,1,31.777751,35.196376,31.777751,35.196376,288,0,1: 9:45-22:00;2-5: 8:45-22:00
Brandman,בנין מעבדה,בנין מעב,0,31.7749526,35.1982143,31.7749526,35.1982143,58.806,-7.52,-1
Levin,לוין,לוין,0,31.775474,35.197664,31.775474,35.197664,109,-8,-1
Silberman Institute for Life Sciences,"המכון למדעי החיים ע""ש אלכסנדר סילברמן",,0,31.772456,35.197253,31.7730146,35.1975148,165,0,-1
National Library,הספרייה הלאומית,,2,31.775887,35.196792,31.7763344,35.1967676,205,0,1-5: 9:00-20:00;6: 9:00-13:00
Philadelphia,,,0,31.773279,35.197121,31.773279,35.197121,268,0,-1
Harman Library of Natural Sciences,,,2,31.776549,35.196263,31.7765477,35.1964217,273.223358,0,1-4: 9:00-21:45;5: 9:00-18:15
Ross,,,0,31.775119,35.197084,31.775119,35.197084,202,-12,-1
Popick,,,0,31.777966,35.196228,31.777966,35.196228,238,1,-1
Restaurant,,,3,31.778958,35.196704,31.7787478,35.196618,43,0,-1
Shprintzek Café,,,4,31.777722,35.196167,31.777751,35.196376,288,0,-1
Wise Auditorium,,,0,31.778662,35.196298,31.7787414,35.1963906,260,-11,-1
Wise Auditorium Restaurant,,,3,31.778509,35.196264,31.7787414,35.1963906,260,-11,-1
National Library Café,,,4,31.775988,35.1965,-1,-1,-1,-1,-1
Haivrit,,,3,31.777253,35.198721,-1,-1,-1,-1,-1
Cosell,,,5,31.777625,35.198855,-1,-1,-1,-1,-1
Sports Stadium,,,5,31.776033,35.200142,-1,-1,-1,-1,-1
Tennis Courts,,,5,31.776649,35.199144,-1,-1,-1,-1,-1
Belgium House,,,4,31.774879,35.196271,31.774879,35.196271,-1,-1,-1
Restaurant,,,3,31.769262,35.198479,-1,-1,-1,-1,-1
Silberman Restaurant,,,3,31.772375,35.197522,31.7730146,35.1975148,165,0,-1
Taylor,,,0,31.774346,35.198012,31.7743986,35.1976859,107.4,0,-1
Manchester Public Computers,,,1,31.774632,35.197978,31.7749793,35.1976511,107.4,0,-1
Manchester Library,,,2,31.774751,35.197983,31.7749793,35.1976511,107.4,0,-1
Kaplun,,,0,31.775079,35.197927,31.7749646,35.1977102,22,-6,-1
Danziger,,,0,31.774666,35.198688,31.7747009,35.1989481,-1,-1,-1
Scheckman Ampitheater,,,0,31.774128,35.198678,31.774128,35.198678,-1,-1,-1
Alberman,,,0,31.773825,35.197098,31.7737712,35.1973753,234.502914,-20.149252,-1
Aronberg,,,0,31.77409,35.197107,31.7741171,35.1973823,278,-4,-1
Brickman,,,0,31.773588,35.197311,31.7737335,35.1973769,-1,-1,-1
Wolfson,,,0,31.771959,35.196846,31.7717789,35.1958554,-1,-1,-1
Sherman Administration,,,0,31.778891,35.196678,31.7787478,35.196618,38,0,-1
Harman Library Computers,,,1,31.776539,35.195984,31.7765477,35.1964217,273.223358,0,1-4: 9:00-21:45;5: 9:00-18:15
Rothenberg CS Computer Lab,,,1,31.776751,35.196334,31.7767949,35.1964227,236.536011,-7,24/7
Silberman Computer Station,,,1,31.772241,35.197763,31.7730146,35.1975148,165,0,-1
Physics Laboratories Computer Station,,,1,31.775625,35.19814,31.7753741,35.1982003,-1,-1,-1
Ross Computer Station,,,1,31.775104,35.197197,31.775119,35.197084,202,-12,-1
Ross Café,,,4,31.775202,35.196878,31.775119,35.197084,202,-12,-1
P. Leon Computer Station,,,1,31.770391,35.197095,31.7704301,35.1973472,1,1,-1
Aquarium,,,1,31.776568,35.197815,31.776375,35.197643,70,0,24/7
School of Computer Science and Engineering,,,0,31.7766,35.198153,31.776375,35.197643,70,0,-1
