en-name,he-name,he-short,type,lat,lon,svlat,svlon,heading,pitch,opening_hours
Boyar (Rothberg International School),,בויאר,0,31.792894,35.246079,31.7930241,35.2457327,114,8,-1
Natural Sciences,,טבע,0,31.792497,35.247026,-1,-1,-1,-1,-1
Bezalel,בצלאל,בצלאל,0,31.793373,35.247609,31.7935837,35.2474155,114,6,-1
Law Faculty,הפקולטה למשפטים,,0,31.792866,35.244322,31.7927327,35.244668,290,0,-1
Truman Research Institue,,,0,31.791533,35.246464,31.7916938,35.2461433,109,0,-1
Bloomfield Library,ספריית בלומפילד,,2,31.792970,35.242888,31.7927663,35.2431899,282,-12,1-4: 9:00-21:45;5: 9:00-19:00
Bloomfield Library Computers,,,1,31.792952,35.242954,31.7927663,35.2431899,282,-12,1-4: 9:00-21:45;5: 9:00-19:00
Social Sciences (1),חברה 1,חברה 1,0,31.793627,35.243557,-1,-1,-1,-1,-1
Social Sciences (2),חברה 2,חברה 2,0,31.793848,35.243356,-1,-1,-1,-1,-1
Social Sciences (3),חברה 3,חברה 3,0,31.794060,35.243152,-1,-1,-1,-1,-1
Social Sciences (4),חברה 4,חברה 4,0,31.794299,35.242954,-1,-1,-1,-1,-1
Social Sciences (5),חברה 5,חברה 5,0,31.794527,35.242772,-1,-1,-1,-1,-1
Social Sciences (6),חברה 6,חברה 6,0,31.794320,35.242493,-1,-1,-1,-1,-1
Social Sciences (7),חברה 7,חברה 7,0,31.794074,35.242678,-1,-1,-1,-1,-1
Humanities (1),רוח 1,רוח 1,0,31.792490,35.242549,-1,-1,-1,-1,-1
Humanities (2),רוח 2,רוח 2,0,31.792340,35.242501,-1,-1,-1,-1,-1
Humanities (3),רוח 3,רוח 3,0,31.792112,35.242539,-1,-1,-1,-1,-1
Humanities (4),רוח 4,רוח 4,0,31.791957,35.242802,-1,-1,-1,-1,-1
Humanities (5),רוח 5,רוח 5,0,31.791916,35.243076,-1,-1,-1,-1,-1
Humanities (6),רוח 6,רוח 6,0,31.791957,35.243355,-1,-1,-1,-1,-1
Humanities (7),רוח 7,רוח 7,0,31.791706,35.243698,-1,-1,-1,-1,-1
Humanities (8),רוח 8,רוח 8,0,31.791986,35.243609,-1,-1,-1,-1,-1
300 Hall,אולם 300,אולם 300,0,31.792144,35.243859,-1,-1,-1,-1,-1
Psychology,המחלקה לפסיכולוגיה,,0,31.794337,35.242971,31.7943923,35.2432654,238,-5,-1
Segal Law Library,,,2,31.792433,35.244874,31.7927072,35.2446992,177,0,1-4: 09:00-20:00;5: 09:00-19:00
Frank Sinatra Restaurant,מסעדת פרנק סינטרה,,3,31.792567,35.245215,31.7925217,35.2455118,284,-2,
Frank Sinatra Café,,,4,31.792524,35.245247,31.7925217,35.2455118,284,-2,-1
Rothberg Cafeteria,,,4,31.792782,35.246141,31.7930241,35.2457327,114,8,1-5: 8:00-18:00
Institute of Archeology,,,0,31.791751,35.245352,31.7918906,35.2455926,205,-4,-1
Bezalel Café,,,4,31.793269,35.248084,-1,-1,-1,-1,-1
Y. Rabin Building,,,0,31.793536,35.245676,31.7930241,35.2457327,280,8,-1
Lerner Sports Center,מרכז לרנר,,5,31.797397,35.237930,31.796829,35.236298,94,0,1: 11:00-22:30;2-5: 6:15-22:30;6: 6:30-17:00;7: 8:00-17:00
Tennis Courts,מגרשי טניס,,5,31.796332,35.237092,-1,-1,-1,-1,-1
Magid Institute,מכון מגיד,,0,31.7908591,35.2457411,31.7914767,35.2460478,228,0,-1
School of Social Work,בית הספר לעבודה סוציאלית,,0,31.791093,35.245082,31.791345,35.2450401,206,-11,-1
Social Work Computers,,,1,31.790712,35.245476,-1,-1,-1,-1,1-4: 9:00-18:45;5: 9:00-17:45
Social Work Café,,,4,31.790696,35.245567,-1,-1,-1,-1,-1
Social Work Library,הספרייה לעבודה סוציאלית,,2,31.790491,35.245717,-1,-1,-1,-1,1-4: 9:00-18:45;5: 9:00-17:45
Vitamin Café,ויטמין,,4,31.791583,35.243732,-1,-1,-1,-1,1-5: 8:00-18:00
Elite Café,קפה עלית,,4,31.790981,35.244936,-1,-1,-1,-1,-1
Elite Café,קפה עלית,,4,31.7932764,35.2437194,31.7932764,35.2437194,91,-7,-1
Vitamin Café,ויטמין,,4,31.793902,35.243443,31.7938613,35.2436715,264,0,-1
Elite Café,קפה עלית,,4,31.7930772,35.2434198,31.7930772,35.2434198,0,0,-1
Bezalel Restaurant,מסעדת בצלאל,,3,31.7931538,35.2436038,31.7931538,35.2436038,318,-6,-1
Rahel Café,קפה רחל,,4,31.792568,35.242493,-1,-1,-1,-1,-1
Humanities Computer Stations,,,1,31.792541,35.242418,-1,-1,-1,-1,-1
Hama’alott Ampitheater,,,0,31.791933,35.246824,-1,-1,-1,-1,-1
Admissions and Finances,,,0,31.795683,35.241634,31.7958464,35.2419257,242,-2,-1
Inst. of Contemporary Jews,,,0,31.792477,35.246171,31.7924112,35.2464065,315,3,-1
Social Sciences Computer Lab,,,1,31.794179,35.242686,-1,-1,-1,-1,1: 9:00-22:00;2-4: 8:00-22:00;5: 8:00-19:00
Australia Computer Center,,,1,31.792661,35.243313,-1,-1,-1,-1,1: 10:00-20:00;2-5: 08:00-20:00
Buber (Pre-Academic Preparatory School),בובר,בובר,0,31.791398,35.245789,31.7911945,35.24559,25.714344,3.79932,-1
